city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"Melbourne, FL, USA",2.91024832,0.519098564,1.104421172,5.073740378,18663
"Butte, MT, USA",2.566048022,0.711766812,1.038541338,6.060869565,1794
"Jefferson County, MO, USA",3.554695336,0.026487091,1.12111161,4.69083671,9498
"Wenatchee, WA, USA",3.151210262,0.355032975,1.214087751,4.973843755,4136
"Beaumont, CA, USA",2.959613268,0.487444803,1.079568673,4.995299647,10008
"Amador County, CA, USA",3.291324563,0.248580336,1.098587767,5.018831312,17183
"Placer County, CA, USA",3.395022185,0.164562262,1.109440053,4.954881895,11949
"Torrance, CA, USA",2.83129217,0.567629631,1.029252772,5.710467037,29736
"Raleigh, NC, USA",3.51307412,0.063495495,1.076879181,4.685708096,19581
"Durham, NC, USA",3.525629113,0.052407487,1.0746393,4.662432243,53983
"Jersey City, NJ, USA",3.366649968,0.187992414,1.025349075,4.657788072,9808
"York, PA, USA",3.570002414,0.012696102,1.07832849,5.166200187,40825
"Kansas City, MO, USA",3.050703657,0.426387653,1.057678602,5.057108835,66304
"Saint Louis, MO, USA",3.480944493,0.091573771,1.094456288,5.082108252,72914
"Lansing, MI, USA",2.79842311,0.587072075,1.054761887,5.429209184,7897
"Bloomington, IN, USA",2.962227942,0.485740092,1.070312347,5.019354839,2684
"Bradenton, FL, USA",2.780872816,0.597270127,1.083588257,5.383811438,23067
"Colorado Springs, CO, USA",3.394747813,0.164790438,1.085032638,5.013363256,15374
"Ketchum, ID, USA",3.479079796,0.093190221,1.11227081,5.311325546,1484
"Anchorage, AK, USA",2.871185578,0.543431368,1.080307321,4.933994923,6506
"Chapel Hill, NC, USA",3.545185602,0.035006084,1.098711981,4.723122726,2197
"Cary, NC, USA",3.529858651,0.048657454,1.091164691,4.630464378,4643
"Edmonton, AB, Canada",3.148885781,0.35673048,1.117139548,4.926072668,27062
"Providence, RI, USA",3.521683955,0.055898704,1.075618241,5.111522033,42449
"Clemson, SC, USA",3.566313868,0.016028186,1.096936198,4.863657957,3010
"Sioux Falls, SD, USA",2.636470769,0.676338001,1.048481736,5.724519034,4253
"Blacksburg, VA, USA",3.552207061,0.02871975,1.102169525,4.790874525,1797
"Hampton, VA, USA",3.56377308,0.018320156,1.077469876,4.83394732,47467
"Woodbridge, VA, USA",3.563729133,0.018359776,1.084363003,4.701499984,46685
"Olympia, WA, USA",3.018962609,0.448053346,1.075594259,5.073274496,16366
"Susono, Shizuoka Prefecture, Japan",3.495793118,0.07865058,1.085895539,5.308005427,1203
"Omaezaki, Shizuoka Prefecture, Japan",3.430459024,0.134830014,1.054326535,5.827616535,2045
"Kakegawa, Shizuoka Prefecture, Japan",3.274662195,0.261665439,1.042089764,6.065773447,785
"Hesperia, CA, USA",2.879716657,0.538171137,1.072913182,5.21913567,35353
"Thousand Palms, CA, USA",3.047048476,0.428903843,1.08729967,4.999658083,41136
"Stockton, CA, USA",3.39164334,0.167370037,1.093950597,4.93964511,77112
"Redding, CA, USA",3.401919376,0.158816119,1.13041496,4.583436813,6787
"Marin County, CA, USA",3.572165895,0.010739078,1.161177778,4.615243155,6747
"Santa Cruz, CA, USA",3.489725466,0.083942463,1.130778499,4.767369129,25323
"Gainesville, FL, USA",2.925676687,0.509313972,1.090313918,4.951830949,6061
"Milan, Italy",3.521648809,0.055929777,1.055336516,4.137003269,50858
"Oxnard, CA, USA",3.28620096,0.252616183,1.105439975,5.220189553,7446
"Fresno, CA, USA",2.549074411,0.719998972,1.039355705,5.409362815,34209
"Fairfield, CA, USA",3.447016102,0.12076009,1.101496193,4.868566227,40796
"New Orleans, LA, USA",3.41687246,0.146290873,1.041127403,5.284760845,24487
